Player One,Player Two,Winner,Termination,Total Moves,Total Milliseconds,Starting Tile Index,Transcript
Monte Carlo Beeline 2,Monte Carlo Beeline 1,Two,Normal,63,260362,4,2A 1D G 18D 14D G 8D 4D G 9B 4A G 9D 4B G 14C 19A G 5D 14A G 16B 11D G 19B 16A G 6B 16C G 18B 11A G 17B 5A G 15C 18C G 1B 15C G 3A 15A G 15D 11B G 3A 20C G 20A 20D G 7B 12C G 12A 1C G 7B 3B G
Monte Carlo Beeline 1,Monte Carlo Beeline 2,One,Normal,63,224994,16,5A 5B G 17A 7C G 6A 6D G 11D 18D G 1C 13B G 7A 19C G 6C 1B G 13D 13A G 14B 14D G 13C 7D G 8B 12B G 8C 12A G 14A 15D G 3D 10A G 19B 15C G 16B 20C G 3C 4D G 11C 3C G 12A 9A G 20B 6D G 8B 14D G
Monte Carlo Beeline 2,Tile Skipper,One,Normal,51,194384,22,6C 20D G 6B 11B G 12D 6D G 1A 13A G 4A 2B G 2C 3D G 17D 4B G 1B 18A G 9C 1C G 3B 13C G 18D 3C G 5C 19D G 14C 8A G 10A 19C G 15D 14B G 10C 14D G 14A 9D G
Random,Monte Carlo Beeline 2,Two,Normal,45,149618,20,6A 3B G 18C 17A G 17A 18B G 12C 19D G 17D 3C G 8B 5D G 17C 5C G 16B 8C G 13B 9C G 12B 15B G 11D 13C G 10C 20D G 5D 7D G 9B 12D G 16D 16A G
Random,Monte Carlo Beeline 3,Two,Normal,51,278515,74,19C 8B G 4B 13C G 2C 20B G 6C 3D G 6A 3A G 19D 20C G 5B 20D G 8D 11B G 5C 17A G 18A 5D G 9A 15C G 4C 3C G 5B 2B G 14B 16D G 6B 5A G 1C 7A G 2C 1A G
Kitty Corner,Monte Carlo Beeline 3,Two,Normal,48,250327,40,11A 20C G 5D 6A G 1A 5B G 2B 5A G 4A 17A G 16A 9A G 11D 13D G 15B 5C G 6B 1D G 12D 1C G 9C 10B G 3A 11B G 7A 7D G 8A 19C G 5C 12A G 12B 4D G
Bee Line,Monte Carlo Tree Search,Two,Normal,48,285128,35,9D 17B G 1C 19C G 11C 15C G 3D 19A G 16B 19B G 8A 13A G 16D 19B G 19D 13C G 12C 12A G 3D 20A G 15D 17A G 18A 5B G 16D 8A G 20B 16D G 19A 1B G 1B 5B G
Barricade,Monte Carlo Beeline 3,Two,Normal,48,250248,14,4C 16D G 9C 17C G 9A 9B G 14C 14D G 13C 10C G 9D 4D G 13B 4A G 3B 3A G 2B 2C G 20A 7D G 14B 7A G 7B 12B G 2A 20C G 20D 12C G 6B 5B G 1A 8C G
Bee Line,Monte Carlo Beeline 3,Two,Normal,48,257738,54,14C 20D G 7D 14C G 10B 8A G 17C 5D G 5A 19A G 18C 12B G 10C 13D G 15A 3B G 5B 4B G 14D 12D G 15B 13C G 3D 6A G 11A 6C G 9D 6D G 15D 1A G 9C 18D G
Monte Carlo Beeline 1,Random,One,Normal,51,19923,9,3B 9B G 4A 5A G 8B 5C G 20B 17A G 1B 6B G 10C 19C G 16A 1C G 7D 13B G 17C 17D G 3C 18C G 3D 19A G 20C 2D G 8C 6A G 11D 6C G 15A 9B G 15D 20D G 20D 20A G
Kitty Corner,Monte Carlo Tree Search,Two,Normal,60,311263,8,3A 4C G 20A 4A G 5A 5B G 2A 10A G 15A 20B G 6A 8A G 10D 17C G 20B 15C G 4D 18D G 10B 5C G 8D 2B G 9D 4D G 5C 10B G 17B 10C G 19C 17C G 13A 10C G 12A 17A G 2A 10D G 10A 1C G 20D 10D G
Monte Carlo Tree Search,Barricade,One,Normal,66,343946,36,10A 2B G 10B 20D G 11A 10C G 10D 14C G 14D 11B G 11C 9A G 19B 9B G 2D 14B G 13A 9D G 13C 7B G 17D 13D G 20C 12D G 8C 12A G 17C 8B G 12B 5B G 2A 12C G 6B 6A G 9B 15C G 10A 4A G 2D 20B G 12C 15D G 6A 16A G
Deep Beeline,Monte Carlo Beeline 2,Two,Normal,51,161589,79,20D 20C G 17A 3C G 10C 10D G 2D 9B G 3B 18B G 7D 2C G 18A 19D G 8A 19C G 19B 13C G 14D 2B G 16B 6B G 1A 15A G 9D 12D G 7B 8B G 6A 1D G 13D 12A G 11C 5A G
