Player One,Player Two,Winner,Termination,Total Moves,Total Milliseconds,Starting Tile Index,Transcript,Winning Path
Parallel MCTS Beeline,Random,One,Normal,85,1401491,36,10A 10D G 6A 11A G 7B 13D G 13A 16A G 9D 4A G 11C 20B G 7C 20C G 19D 18D G 14B 10B G 12C 8C G 9C 18B G 7A 9A G 12D 7A+ G 20A 6D G 6B 10B+ G 10B+ 13B G 17B 17D G 20D 15C G 15D 17A G 7D 8A G 16B 11D G 10C 1C G 7B 11B G 12B 10D G 8D 4C G 7D+ 14C G 12B 17B G 13C 7A G 12A,7B 12D 12A 12B 8C 8A 8D 13B 9C 9A 9D 14B
Monte Carlo Tree Search,Parallel MCTS Beeline,Two,Normal,70,1362374,29,8B 16A G 4B 13A G 17B 4A G 10D 17C G 2A 3B G 14D 9B G 1D 14A G 1B 19B G 16C 14B G 18C 20B G 7D 5B G 18A 12C G 16C 7A G 9A 6C G 6D 13C G 16A 12D G 5C 17A G 9D 20B+ G 19A 4C G 18D 1C G 1C+ 9B G 13C 19A+ G 18B 7A G 1A,1A 1B 5B 4B 4A 4C 9D 9A 9B 13C 18D 18A
Parallel MCTS Beeline,Deep Beeline,One,Normal,91,1385392,40,11A 11B G 8A 2C G 15D 2A G 19D 3B G 10A 18A G 19B 16B G 17A 20B G 12A 18B G 5B 16A G 16A 20D G 6B 20B G 17C 4A G 6A 13C G 15C 8C G 12B 15A G 6D 13A G 20A 15C G 1B 1C G 6D 1D G 2A 19A G 14B 20B G 2D 7C G 15A 5C G 20B 5A G 2B 19C G 6C 2A G 2D 15C G 13B 11D G 15C 5C G 4C 9D G 20B,3B 2B 2A 2D 1C 6D 6A 6B 15C 20D 20A 20B
Parallel MCTS Beeline,Monte Carlo Tree Search,One,Normal,55,654944,25,7B 12A G 2A 1A G 3B 13D G 20C 5C G 13B 19D G 14D 19A G 1B 6B G 6A 1C G 6D 18D G 2C 11C G 16D 18B G 7C 11B G 11A 12B G 14A 6D G 17A 19D+ G 8B 11B G 5A 18A G 6A 17C G 5B,5A 5B 1B 1A 1C 6D 11B 11A 11C 16D 17C 17A
Parallel MCTS,Monte Carlo Beeline 4,Two,Normal,58,723255,29,8B 4B G 1A 18D G 11A 15B G 17D 1D G 6A 12B G 12C 3C G 10B 2A G 18C 10B+ G 16C 2C G 12D 9C G 4D 19A G 14B 15A G 17C 2A+ G 1B 17B G 4A 12A G 2B 18B G 13C 1A+ G 7D 12C G 15A 1D G 12C,1D 1A 1B 2B 2A 2C 7D 12B 12A 12C 17D 18C
Monte Carlo Barricade,Barricade,One,Normal,199,1094261,51,13D 3D G 13A 14B G 4A 4B G 4C 5A G 1D 1A G 6C 18C G 18A 5C G 5C 4A G 20C 1D G 4B 16B G 17C 10D G 4D 9A G 2D 18D G 18B 11D G 16A 16C G 17B 19D G 8A 8B G 16C 7D G 6D 18D G 8B 5D G 19B 8B G 16C 5C G 2B 8B G 16C 20D G 1B 3B G 8B 3C G 12C 10B G 3B 4B G 9D 5B G 14C 12A G 1B+ 19C G 10C 7A G 19B+ 6C G 16D 19D+ G 11C 20A G 18B 13A G 5A+ 17D G 16C 6B G 3A 4A G 8D 11D+ G 9B 14A G 12B 14C G 2B+ 13C G 1C 14C G 20C+ 17B G 1A 4A G 19B+ 7B G 6A 12A+ G 9A+ 7B+ G 19A 7C G 4A+ 5C G 4C 16C G 1C 19C+ G 10C 15B G 2D+ 10D+ G 8B 6A G 17C+ 8D G 20A 11A G 12C+ 8C G 3B 2A G 15D 19A G 1D+ 4A+ G 1B+ 5C G 11C 11B G 9C 3A G 10C 9B+ G 3B,4A 4B 3B 2B 2A 2D 7C 11B 11A 11D 16C 16A
Parallel MCTS Beeline,Monte Carlo Beeline 4,One,Normal,67,1042212,1,1B 16B G 15C 17B G 5D 11B G 12D 7B G 1A 18D G 18B 2A G 11C 7D G 14C 18C G 7B 7C G 8B 3A G 16C 6B G 15A 13D G 3B 18A G 13A 9B G 19A 20D G 3D 14D G 19C 11B+ G 7A 9A G 3C 15C+ G 14C+ 2B G 9C 7A G 7C+ 10B G 4D,2A 2B 3B 3A 3C 4D 9C 9A 9B 14D 19C 19A
Monte Carlo Tree Search,Monte Carlo Beeline 4,Two,Normal,100,861629,54,14C 9C G 20D 18C G 1D 19C G 20B 3C G 6B 1B G 18B 15B G 17A 6D G 16D 2D G 13C 1C G 1C+ 5B G 14B 17B G 11B 10A G 20A 9B G 7D 7A G 13C+ 12D G 9A 3B G 18D 16A G 5A 7A G 16B 1A G 11A 8B G 7A+ 15C G 4A 5C G 14D 12B G 10C 8D G 7C 2C G 1A+ 13A G 5D 4B G 4B 19D G 3B+ 16D+ G 16B 18D G 10D 14D G 16B+ 19C G 19C+ 16A+ G 11C,1B 1A 1C 6D 11B 11A 11C 16D 16A 16B 17B 18B
Monte Carlo Beeline 3,Parallel MCTS Beeline,Two,Normal,76,1339385,22,6C 11D G 15C 8B G 12D 7B G 3B 18A G 11B 8D G 19A 19B G 6A 17A G 1A 8C G 13A 13B G 9A 9C G 2C 20B G 4B 19A G 14B 2D G 9C 19C G 13C 15A G 20A 5A G 10C 10D G 15D 5D G 5B 9B G 18B 1B G 14A 17D G 12C 2A G 5B 17B G 15B 19B G 14D 16B G 20C,10D 15B 15A 15D 20C 20A 20B 16B 17B 17A 17D 12C
Deep Beeline,Monte Carlo Tree Search,Two,Normal,244,1564567,9,3B 11D G 20A 4A G 13D 6A G 2A 1B G 7B 17D G 9C 19B G 7D 13A G 10C 16A G 13B 18D G 9A 3C G 5C 10D G 15A 13A G 15D 6B G 10A 6C G 15B 2B G 18A 6C G 15D 4D G 12D 15B G 1A 8C G 15D 14B G 14A 17C G 16D 15C G 15C 17A G 16D 11C G 11A 16D+ G 16B 6C G 1D 16C G 16B+ 13C G 6C 20B G 19A 11C G 15C 16D+ G 20A+ 3A G 18C 12C G 3D 2B G 15B 6D G 6B+ 15B G 8A 20A+ G 10A+ 3A G 10D 15D+ G 13B 8D G 15B 2B G 6A 17B G 2B 14D G 8C+ 2B G 18C 13D G 14B 18C G 15B 12A G 19B 13A G 18C 19A G 13A 7C G 18C 16B+ G 16A 7A G 2D 16B+ G 18D+ 18C G 4B 18B G 10A+ 18C G 4C 16D+ G 5C 2A G 18C 10B G 12D 18C G 18C 11C G 13B+ 18C G 18C 12D G 12D+ 18C G 18C 6D+ G 14C 18C G 18C 18A+ G 10B+ 18C G 18C 16D+ G 6B+ 9D G 9D 15B G 10D 18C G 18C 19C G 3D 15C G 18C 8A G 5B 15C G 18C 8C+ G 16C+ 15C G 18C 14C G 19D 9D G 18C 7B G 17B,10A 10B 14C 19D 19A 19B 18B 17B 17A 17C 12D 12A
