Player One,Player Two,Winner,Termination,Total Moves,Total Milliseconds,Starting Tile Index,Transcript
Kitty Corner,Barricade,Two,Normal,54,157,48,13A 15A G 13B 8A G 3A 3B G 3C 2A G 1A 1B G 1C 6A G 2D 7C G 2C 3D G 8B 18D G 18C 8C G 13D 9B G 12C 13D G 4C 11D G 5A 14B G 6B 5C G 16C 4C G 16D 16A G 16B 20B G
Tile Skipper,Kitty Corner,One,Normal,48,155,79,20D 15A G 10A 6B G 6C 5A G 4A 1A G 2B 3A G 8A 2C G 4B 10C G 5D 1B G 2A 10D G 4D 3D G 3C 8D G 4D 7A G 7B 15B G 10B 12D G 12C 14D G 15A 13D G
Random,Bee Line,Two,Normal,39,155,78,20C 10A G 10B 20B G 13B 12A G 15D 3C G 2D 11D G 6B 18B G 14A 12D G 15C 14A G 2D 7B G 11C 14B G 9A 11A G 4C 2B G 1B 16D G
Kitty Corner,Random,One,Normal,42,154,52,14A 14B G 19B 9A G 4A 4B G 7B 3A G 2A 6A G 20C 7A G 7C 15C G 1A 3D G 9B 16D G 8D 9C G 2B 10C G 6C 2B G 9B 10D G 5D 8C G
Bee Line,Barricade,One,Normal,54,167,72,19A 2A G 5C 20D G 3C 3A G 8D 9C G 19C 4D G 9A 20B G 1D 6C G 14C 5D G 10A 13B G 4B 12D G 13A 13C G 11D 12A G 12C 6B G 4C 10C G 14B 11B G 11A 17D G 18C 7A G 9A 10C G
Tile Skipper,Bee Line,Two,Normal,36,8275,79,20D 12B G 13D 6B G 6C 14D G 13A 1A G 2B 10B G 14C 2C G 4B 8B G 12C 1B G 2A 14A G 4D 3D G 3C 6D G 11B 4C G
Kitty Corner,Tile Skipper,One,Normal,45,8310,56,15A 20D G 6B 10A G 5A 6C G 1A 4A G 3A 2B G 2C 8A G 10B 4B G 1B 3C G 5D 2A G 3D 5B G 5B 7A G 8C 15D G 15D 7B G 12D 15D G 14A 12C G
Bee Line,Random,One,Normal,39,8320,50,13C 15D G 18A 8A G 2A 1C G 12C 13B G 6D 20C G 17C 7D G 8D 16B G 4B 7C G 12B 15B G 4A 11B G 7A 9A G 5B 10D G 3D 15B G
Barricade,Kitty Corner,One,Normal,51,8339,64,17A 16A G 11A 11B G 11C 6A G 1A 1B G 1C 5A G 4A 1D G 4B 5B G 6B 11D G 7A 5C G 16C 7B G 12D 6B G 5B 18C G 18A 14B G 20D 18D G 19C 6C G 5C 15A G 9C 5A G
Bee Line,Tile Skipper,One,Normal,39,101,22,6C 20D G 6B 11C G 12C 6D G 1A 13A G 13B 2B G 2C 4D G 5C 4B G 1B 5A G 4A 1C G 3B 4C G 5D 3C G 7D 18B G 17A 10D G
Kitty Corner,Bee Line,Two,Normal,36,126,8,3A 7A G 14D 4A G 5A 13D G 9B 10A G 15A 12C G 14A 20A G 10D 12D G 13A 10D G 4C 13C G 12A 3B G 3B 6A G 11A 5B G
Barricade,Bee Line,One,Normal,54,110,32,9A 7B G 7C 7A G 12D 11B G 11C 11A G 16D 4D G 16C 6D G 4A 18D G 8B 4C G 14D 17D G 12C 19C G 19A 17A G 8D 19B G 4B 16B G 8A 17B G 3B 3D G 6C 20B G 2B 3A G 15C 1B G
Deep Beeline,Tile Skipper,One,Normal,54,9492,27,7D 20D G 6B 7A G 2B 6C G 1A 2C G 10C 2D G 5B 1B G 16B 3B G 2A 19A G 17A 1D G 3C 18B G 5C 5A G 4B 19C G 12C 3A G 8A 9B G 17C 8D G 8B 14D G 14A 9A G 13C 16D G
Bee Line,Deep Beeline,One,Normal,48,9613,70,18C 14D G 1D 3D G 3A 20A G 14B 4A G 10C 20C G 16D 18A G 12D 3B G 13B 7A G 16A 19D G 15D 17B G 8D 16B G 2B 10D G 15C 16C G 15B 11D G 7B 5B G 6B 4D G
Deep Beeline,Kitty Corner,One,Normal,45,9791,55,14D 10A G 5A 11C G 17A 1A G 2A 18A G 19A 7A G 12A 3B G 2D 7D G 12B 7C G 16A 5B G 2B 2C G 20B 7D G 12B 3D G 8D 13B G 6A 13A G 6B 15D G
Monte Carlo Beeline,Random,One,Normal,45,9810,55,14D 17B G 12C 5C G 4D 13D G 5D 15C G 5A 12C G 3A 20A G 19D 14B G 13D 3B G 6A 6D G 18D 1B G 13C 7B G 13B 1C G 2B 14C G 14C 20B G 16C 3D G
Deep Beeline,Bee Line,One,Normal,51,9899,71,18D 4D G 4B 20B G 17B 15A G 15C 5B G 4C 3B G 2D 9B G 19D 11D G 11B 11A G 16A 6B G 2A 6A G 6C 10B G 1D 5C G 9A 17C G 13D 17D G 11C 11D G 7B 1A G 12A 12D G
Bee Line,Monte Carlo Beeline,Two,Normal,42,10394,29,8B 10A G 5B 3B G 8A 20B G 5C 1A G 6C 5A G 20C 3A G 1B 13D G 2B 2D G 1C 15B G 18B 17A G 12C 18D G 20D 14C G 9C 18A G 13A 4D G
Random,Deep Beeline,Two,Normal,51,10416,30,8C 10A G 13A 9B G 7C 18A G 19B 2D G 6C 10B G 20D 5C G 17C 12B G 17A 14D G 11D 2C G 9C 4C G 19C 9D G 17D 1C G 8A 5B G 2B 1D G 8D 12A G 4D 16D G 11D 3C G
Monte Carlo Beeline,Bee Line,One,Normal,45,10425,15,4D 3D G 19D 15A G 5A 3B G 3A 4A G 20B 18D G 8D 20D G 19C 19A G 19B 18B G 2B 9B G 13C 14A G 16B 10B G 14B 11B G 1C 17A G 19B 16A G 7C 2A G
Barricade,Deep Beeline,Two,Normal,57,10494,28,8A 8B G 3B 3A G 4B 18A G 13C 2B G 13D 17C G 16A 12C G 9B 17D G 15D 3D G 2C 6A G 4C 17A G 6B 15A G 9A 16C G 17B 10D G 10C 6C G 10A 11D G 11B 19A G 1B 11A G 1C 4A G 1A 20A G
Kitty Corner,Deep Beeline,Two,Normal,64,10692,20,6A 7D G 11D 1A G 2A 13D G 13A 3A G 8A 5D G 9B 7A G 4A 18B G 19A 9A G 14A 20D G 20A 4D G 14C 15D G 15C 3B G 2B 15B G 16A 3B G 2D 15A G 10A 14B G 7B 16B G 5A 12D G 6B 17A G 5A 1C G 5C 5A G 9C
Random,Barricade,Two,Normal,63,211,28,8A 4A G 8B 1A G 3A 1B G 1C 20C G 12B 1D G 3B 2B G 5A 2A G 12A 2B G 7D 13B G 7A 8D G 3A 9D G 9A 12B G 17C 9B G 13C 17C G 7D 10C G 17D 19B G 18B 7A G 18A 15D G 14C 5B G 9C 3A G 3C 13C G
Kitty Corner,Monte Carlo Beeline,Two,Normal,45,10918,76,20A 2A G 3A 15A G 10A 11C G 17C 5A G 4A 16A G 9C 19A G 14A 12C G 17B 9A G 13A 18B G 12B 8A G 10D 17D G 8B 13B G 9B 6B G 13D 10B G 14D 6A G
Deep Beeline,Barricade,One,Normal,71,10797,15,4D 5A G 4A 5B G 16D 9C G 3C 3A G 18C 3B G 3D 19A G 20A 1B G 4C 16A G 6A 6B G 6D 9A G 18A 9B G 17A 1C G 7A 7B G 11A 12D G 15A 18D G 15B 8B G 12B 15D G 10B 2D G 7D 5A G 8D 18D G 1C 7B G 11D 7D G 1C 9C G 11B 2D
Tile Skipper,Monte Carlo Beeline,Two,Normal,51,11081,79,20D 14D G 3C 6B G 6C 2B G 18B 1A G 2D 18A G 19C 2C G 3A 11B G 7A 4B G 1B 12D G 16A 4C G 5B 16D G 16B 4A G 8A 17C G 17A 9C G 11C 9D G 10C 12C G 12B 10A G
Monte Carlo Beeline,Barricade,One,Normal,60,11167,55,14D 15A G 14A 3C G 2A 2B G 2C 19B G 16C 2D G 3A 16A G 18A 8D G 19A 20A G 9A 9C G 6C 11A G 1A 18D G 11B 6D G 13A 13D G 10A 13C G 17A 8C G 3D 2A G 12C 6B G 5C 7B G 5A 15B G 2A 4C G
Tile Skipper,Deep Beeline,One,Normal,66,3142,79,20D 13D G 8A 6B G 6C 1B G 4D 1A G 2B 18B G 17D 2C G 4B 19C G 19B 4C G 1C 19D G 5C 2A G 3B 20B G 3A 7A G 9A 2D G 7B 10A G 9B 10C G 7C 12D G 14B 10B G 14C 5A G 10B 7C G 7B 9A G 1B 12D G 7B 20C G
Monte Carlo Beeline,Tile Skipper,One,Normal,54,11380,15,4D 20D G 6B 1C G 13C 6C G 1A 2A G 16B 2B G 2C 3A G 18B 4B G 1B 19B G 17D 3B G 3D 20B G 20C 4C G 7A 16D G 8B 5D G 8A 14A G 12A 9D G 12D 11C G 14B 14C G 17C 7B G
